Contributor Role	Role Definition	Paralog regulation (Chapter \@ref(paralog-regulation))	TAD evolution (Chapter \@ref(TAD-evolution))	Position effect (Chapter \@ref(position-effect))	Loop prediction (Chapter \@ref(loop-prediction))
Conceptualization	Ideas; formulation or evolution of overarching research goals and aims.	80	90	20	90
Data Curation	Management activities to annotate (produce metadata), scrub data and maintain research data (including software code, where it is necessary for interpreting the data itself) for initial use and later reuse.	100	80	50	100
Formal Analysis	Application of statistical, mathematical, computational, or other formal techniques to analyze or synthesize study data.	100	50	40	100
Funding Acquisition	Acquisition of the financial support for the project leading to this publication.	0	0	0	0
Investigation	Conducting a research and investigation process, specifically performing the experiments, or data/evidence collection.	100	80	20	100
Methodology	Development or design of methodology; creation of models	90	80	30	100
Project Administration	Management and coordination responsibility for the research activity planning and execution.	50	80	0	80
Resources	Provision of study materials, reagents, materials, patients, laboratory samples, animals, instrumentation, computing resources, or other analysis tools.	0	20	0	0
Software	Programming, software development; designing computer programs; implementation of the computer code and supporting algorithms; testing of existing code components.	100	50	50	100
Supervision	Oversight and leadership responsibility for the research activity planning and execution, including mentorship external to the core team.	0	80	0	0
Validation	Verification, whether as a part of the activity or separate, of the overall replication/reproducibility of results/experiments and other research outputs.	100	80	20	100
Visualization	Preparation, creation and/or presentation of the published work, specifically visualization/data presentation.	100	50	0	100
Writing – Original Draft Preparation	Creation and/or presentation of the published work, specifically writing the initial draft (including substantive translation).	100	60	20	100
Writing – Review & Editing	Preparation, creation and/or presentation of the published work by those from the original research group, specifically critical review, commentary or revision – including pre- or post-publication stages.	50	80	20	50
